NAME                                               READY   STATUS      RESTARTS   AGE   IP              NODE                NOMINATED NODE   READINESS GATES
app-liquibase-d4gnq                                0/1     Completed   0          16h   172.16.83.18    zc404smlc01kwo002   <none>           <none>
c404-vas-clsif-5b854ff65-d4sjg                     2/3     Running     225        16h   172.16.46.89    zc404smlc01kwo001   <none>           <none>
c404-vas-clsif-5b854ff65-k5g9n                     3/3     Running     231        16h   172.16.83.43    zc404smlc01kwo002   <none>           <none>
c404-vas-connectionconsumer-7598d8b8b9-t8h9k       2/2     Running     2          19h   172.16.83.13    zc404smlc01kwo002   <none>           <none>
c404-vas-dashboard-77b7b97686-qgdbx                1/1     Running     1          15h   172.16.83.56    zc404smlc01kwo002   <none>           <none>
c404-vas-egmlc-1                                   3/3     Running     0          17h   172.16.46.114   zc404smlc01kwo001   <none>           <none>
c404-vas-egmlc-2                                   3/3     Running     3          17h   172.16.83.34    zc404smlc01kwo002   <none>           <none>
c404-vas-esmlc-1                                   3/3     Running     0          17h   172.16.46.83    zc404smlc01kwo001   <none>           <none>
c404-vas-esmlc-2                                   3/3     Running     3          17h   172.16.83.17    zc404smlc01kwo002   <none>           <none>
c404-vas-eventsconsumer-b4c7b6c4c-m7ndf            2/2     Running     0          19h   172.16.46.101   zc404smlc01kwo001   <none>           <none>
c404-vas-eventservice-8979bb888-vrmzq              2/2     Running     0          19h   172.16.46.100   zc404smlc01kwo001   <none>           <none>
c404-vas-extauthif-558c5b96db-hmwrw                3/3     Running     3          17h   172.16.83.48    zc404smlc01kwo002   <none>           <none>
c404-vas-extauthif-558c5b96db-v8dzz                3/3     Running     0          17h   172.16.46.121   zc404smlc01kwo001   <none>           <none>
c404-vas-gmlcagent-5fbc7b854b-4gd9r                3/3     Running     3          17h   172.16.83.16    zc404smlc01kwo002   <none>           <none>
c404-vas-gmlcagent-5fbc7b854b-k2t67                3/3     Running     0          17h   172.16.46.117   zc404smlc01kwo001   <none>           <none>
c404-vas-gmlcnrfif-8b46cf9b5-54p5m                 3/3     Running     0          17h   172.16.46.118   zc404smlc01kwo001   <none>           <none>
c404-vas-gmlcnrfif-8b46cf9b5-8b5xq                 3/3     Running     3          17h   172.16.83.28    zc404smlc01kwo002   <none>           <none>
c404-vas-heldif-7c95bc967b-qrf6b                   3/3     Running     0          17h   172.16.46.124   zc404smlc01kwo001   <none>           <none>
c404-vas-heldif-7c95bc967b-s5qbb                   3/3     Running     0          17h   172.16.46.126   zc404smlc01kwo001   <none>           <none>
c404-vas-leagent-67df8648b8-5v877                  3/3     Running     1          17h   172.16.46.119   zc404smlc01kwo001   <none>           <none>
c404-vas-leagent-67df8648b8-zxgfm                  3/3     Running     3          17h   172.16.83.4     zc404smlc01kwo002   <none>           <none>
c404-vas-lmf-7487c4899b-9s22z                      3/3     Running     3          17h   172.16.83.29    zc404smlc01kwo002   <none>           <none>
c404-vas-lmf-7487c4899b-b58qj                      3/3     Running     3          17h   172.16.83.24    zc404smlc01kwo002   <none>           <none>
c404-vas-lmfnrfif-74845d54d9-ccn62                 3/3     Running     3          17h   172.16.83.42    zc404smlc01kwo002   <none>           <none>
c404-vas-lmfnrfif-74845d54d9-ddt8l                 3/3     Running     0          17h   172.16.46.98    zc404smlc01kwo001   <none>           <none>
c404-vas-locctl-57485f86b7-dn6pg                   3/3     Running     3          17h   172.16.83.18    zc404smlc01kwo002   <none>           <none>
c404-vas-locctl-57485f86b7-m7cvm                   3/3     Running     0          17h   172.16.46.115   zc404smlc01kwo001   <none>           <none>
c404-vas-mlpadaptor-7dd958f99-4zw8j                3/3     Running     0          17h   172.16.46.113   zc404smlc01kwo001   <none>           <none>
c404-vas-mlpadaptor-7dd958f99-fzlhw                3/3     Running     3          17h   172.16.83.61    zc404smlc01kwo002   <none>           <none>
